SRR3437043_Aligned.sortedByCoord.out.bam	SRR3437044_Aligned.sortedByCoord.out.bam	SRR3437051_Aligned.sortedByCoord.out.bam	SRR3437052_Aligned.sortedByCoord.out.bam	SRR3437053_Aligned.sortedByCoord.out.bam	SRR3437054_Aligned.sortedByCoord.out.bam	SRR3437056_Aligned.sortedByCoord.out.bam	SRR3437060_Aligned.sortedByCoord.out.bam
ABI1P1	0	0	0	0	0	0	0	0
ABI2	167	218	248	169	131	172	241	124
ABI3	30	24	11	8	10	13	13	8
ABI3BP	69	28	7	6	21	30	49	4
ABITRAM	25	47	43	53	22	52	43	27
ABITRAMP1	0	0	0	0	0	0	0	0
ABL1	242	206	241	170	112	148	164	72
ABL2	31	35	72	65	30	42	49	17
ABLIM1	166	181	44	148	30	113	134	18
ABLIM2	7	3	4	4	3	6	3	4
ABLIM3	94	71	22	67	13	65	11	11
ABO	81	37	8	126	3	8	7	2
ABR	309	246	273	263	164	194	220	82
ABRA	0	0	6	0	0	1	0	0
ABRACL	22	29	30	29	25	26	66	28
ABRAXAS1	61	54	68	49	41	52	84	46
ABRAXAS2	41	50	50	30	34	40	36	42
ABT1	52	53	42	42	54	117	110	72
ABT1P1	0	1	0	0	0	0	0	0
ABTB1	207	173	78	81	91	79	153	32
ABTB2	59	68	17	20	36	76	26	57
ACAA1	269	206	179	464	232	290	387	336
ACAA2	99	61	14	21	20	12	46	22
ACACA	222	261	912	855	373	416	346	362
ACACB	191	207	60	66	36	26	54	31
ACAD10	82	70	65	76	98	170	88	78
ACAD11	6	18	12	2	7	6	9	2
ACAD8	179	190	248	511	118	140	116	67
ACAD9	128	95	94	89	128	245	196	115
ACADL	37	52	48	301	31	27	20	7
ACADM	70	83	118	67	36	62	90	43
ACADS	40	43	22	48	32	30	37	15
ACADSB	89	131	195	243	129	162	113	103
ACADVL	991	906	755	1281	1583	1563	643	594
ACAN	7	0	5	1	1	0	0	0
ACAP1	73	97	26	32	32	51	50	22
ACAP2	44	64	66	37	40	58	41	37
ACAP2-IT1	0	0	1	0	0	0	1	0
ACAP3	216	168	181	186	177	347	277	155
ACAT1	134	114	137	221	78	125	207	73
ACAT2	118	102	41	393	130	115	225	130
ACBD3	63	92	164	77	78	76	77	80
ACBD3-AS1	12	13	19	14	10	4	9	7
ACBD4	57	65	39	39	60	73	49	53
ACBD5	37	58	88	77	51	63	61	41
ACBD6	75	86	75	129	65	132	136	54
ACBD7	3	7	6	4	1	2	13	0
ACCS	80	135	113	138	58	212	112	123
ACCSL	0	0	0	1	0	0	0	0
ACD	61	54	26	34	35	107	70	49
ACE	38	47	23	12	17	10	19	5
ACE2	3	2	0	0	9	0	0	0
ACE3P	0	0	0	0	0	0	0	0
ACER1	3	0	0	2	0	0	0	5
ACER2	13	9	25	2	8	5	3	9
ACER2P1	0	0	0	0	0	0	0	0
ACER3	51	42	60	25	32	63	49	87
ACHE	12	20	2	10	30	14	16	17
ACIN1	549	582	509	450	436	766	565	455
ACKR1	71	16	6	11	8	24	16	4
ACKR2	4	1	2	2	2	3	4	1
ACKR3	52	35	24	10	8	8	16	36
ACKR4	29	22	13	12	12	18	16	10
ACKR4P1	1	1	1	0	0	0	0	1
ACLY	241	265	850	747	334	350	626	508
ACMSD	0	2	3	4	2	0	3	4
ACNATP	0	0	0	0	0	0	0	0
ACO1	177	115	75	78	98	129	66	37
ACO2	281	186	301	293	254	557	366	313
ACOD1	0	0	0	0	0	0	0	0
ACOT1	39	25	10	45	34	86	29	21
ACOT11	38	19	5	2	2	3	9	0
ACOT12	2	2	0	0	1	0	0	1
ACOT13	64	89	45	94	77	80	231	75
ACOT2	75	42	25	62	57	129	53	35
ACOT4	1	1	3	0	1	3	4	2
ACOT6	2	0	0	1	1	0	0	0
ACOT7	39	30	14	29	31	39	44	24
ACOT8	97	78	50	89	81	103	89	67
ACOT9	145	106	92	79	87	87	123	53
ACOX1	122	122	195	190	138	166	137	175
ACOX2	114	105	31	12	5	18	19	4
ACOX3	48	33	24	75	42	48	48	55
ACOXL	16	12	15	25	15	43	13	27
ACOXL-AS1	5	8	3	5	2	26	3	8
ACP1	134	127	237	182	173	192	205	164
ACP2	85	79	157	209	144	145	114	86
ACP3	5302	7062	1235	20237	1930	2197	1432	883
ACP4	2	0	0	3	0	5	2	3
ACP5	37	44	10	39	11	20	20	9
ACP6	65	51	87	86	94	120	98	84
ACP7	3	0	0	1	0	0	1	0
ACR	4	0	2	0	1	0	1	0
ACRBP	8	8	6	9	14	18	18	10
ACRP1	1	0	0	0	0	1	1	0
ACRV1	0	0	2	3	7	5	1	2
ACSBG1	92	65	109	97	46	87	62	58
ACSBG2	1	1	1	3	1	1	0	0
ACSF2	132	119	14	23	12	22	24	9
ACSF3	64	55	40	69	25	48	93	25
ACSL1	153	287	405	550	759	1005	397	546
ACSL3	190	192	1766	331	148	267	313	252
ACSL3-AS1	0	0	2	1	0	0	0	0
ACSL4	57	98	28	9	12	11	22	8
ACSL5	130	121	434	52	26	17	22	8
ACSL6	0	0	0	0	1	1	2	0
ACSL6-AS1	0	0	0	0	0	0	0	0
ACSM1	16	10	379	142	973	1151	47	686
ACSM2A	0	1	0	0	1	0	0	0
ACSM2B	0	2	0	0	4	0	0	0
ACSM3	61	76	175	209	53	82	86	21
ACSM4	0	0	1	0	0	0	0	0
ACSM5	5	4	4	3	2	1	1	0
ACSM5P1	0	1	2	0	3	1	0	2
ACSM6	0	0	0	0	0	0	0	0
ACSS1	152	194	469	342	438	524	207	330
ACSS2	120	99	112	85	67	94	74	39
ACSS3	53	66	34	11	165	337	115	177
ACTA1	24	2	0	1	2	2	4	2
ACTA2	10135	3712	1309	1422	816	278	1258	738
ACTA2-AS1	5616	2114	602	826	659	164	1016	486
ACTB	9572	5445	3285	4240	2869	3818	3445	2117
ACTBL2	0	0	1	0	0	0	0	0
ACTBP1	0	0	0	0	0	0	0	0
ACTBP11	0	0	1	0	0	0	0	0
ACTBP12	0	0	0	0	0	0	0	0
ACTBP14	0	0	0	0	0	0	0	0
ACTBP15	0	3	0	0	0	0	0	0
ACTBP2	3	4	0	0	0	0	2	1
ACTBP4	0	0	0	0	0	0	1	0
ACTBP6	0	0	0	0	0	0	0	0
ACTBP7	0	0	0	0	0	0	0	0
ACTBP8	0	0	0	0	0	0	0	0
ACTBP9	0	0	0	0	0	0	0	0
ACTC1	235	19	4	14	1	1	4	0
ACTE1P	0	0	0	0	0	0	3	0
ACTG1	2522	2337	1754	4768	3479	5196	5858	2626
ACTG1P1	0	0	2	1	1	3	2	1
ACTG1P10	1	0	0	0	0	0	0	1
ACTG1P11	0	0	0	0	0	0	0	0
ACTG1P12	0	0	0	0	0	0	0	0
ACTG1P13	0	0	0	0	0	0	0	0
ACTG1P14	0	1	0	0	0	3	0	0
ACTG1P15	2	1	0	0	0	0	0	0
ACTG1P16	0	1	0	0	0	0	1	0
ACTG1P17	4	5	3	7	9	21	11	10
ACTG1P18	0	0	0	0	0	0	0	0
ACTG1P19	0	0	0	0	0	0	0	0
ACTG1P2	0	0	0	0	0	0	0	0
ACTG1P20	1	0	1	0	0	0	1	0
ACTG1P21	0	0	0	0	0	0	0	0
ACTG1P22	0	1	0	0	0	0	0	0
ACTG1P23	0	0	0	0	0	0	0	0
ACTG1P24	1	0	0	0	0	0	1	0
ACTG1P25	0	2	2	0	0	1	2	1
ACTG1P3	0	1	4	1	2	2	1	0
ACTG1P4	0	0	0	0	0	0	0	0
ACTG1P9	0	1	0	0	0	0	0	0
ACTG2	10189	2866	1276	1446	471	116	873	384
ACTL10	6	3	8	7	30	65	24	29
ACTL11P	0	0	0	0	1	0	0	0
ACTL6A	78	61	70	65	64	103	99	50
ACTL6B	0	0	0	0	0	0	4	0
ACTL7A	0	0	0	0	0	0	0	0
ACTL7B	0	0	0	0	0	0	0	0
ACTL8	0	0	1	1	0	0	0	0
ACTL9	0	0	0	0	0	0	0	0
ACTN1	1413	887	514	350	173	184	326	158
ACTN1-DT	2	1	0	0	0	0	1	0
ACTN2	4	3	0	17	17	6	0	3
ACTN3	1	1	1	0	1	0	0	0
ACTN4	1153	744	496	378	418	617	615	498
ACTN4P1	1	0	0	0	0	0	0	0
ACTN4P2	0	0	0	0	0	0	0	0
ACTP1	0	0	0	0	0	0	0	0
ACTR10	104	89	86	96	54	130	90	81
ACTR1A	259	193	166	229	199	391	211	205
ACTR1AP1	0	0	0	1	0	0	0	0
ACTR1B	148	131	140	150	117	262	165	156
ACTR2	229	344	473	244	151	252	289	177
ACTR3	234	228	212	168	161	230	178	137
ACTR3-AS1	1	5	5	0	1	3	2	1
ACTR3B	20	20	25	23	55	405	26	21
ACTR3BP1	0	0	0	0	0	0	0	0
ACTR3BP2	0	0	0	0	0	0	0	0
ACTR3BP3	0	0	0	0	0	0	0	0
ACTR3BP4	0	0	0	0	0	0	0	0
ACTR3BP5	0	0	0	0	0	0	0	0
ACTR3BP6	0	0	0	0	0	0	0	0
ACTR3BP7	0	0	0	0	0	0	0	0
ACTR3C	9	8	11	18	11	26	9	7
ACTR3P2	0	0	0	0	0	0	0	0
ACTR3P3	0	0	0	0	0	0	0	0
ACTR5	23	24	21	19	17	29	26	19
ACTR6	29	45	47	39	39	85	59	32
ACTR6P1	0	0	0	0	0	0	0	0
ACTR8	28	40	41	42	32	36	48	30
ACTRT1	0	0	0	0	0	0	0	0
ACTRT1P1	0	0	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0	0	0
ACTRT3	7	1	2	1	1	1	2	2
ACVR1	57	56	45	36	40	37	73	51
ACVR1B	117	110	126	97	70	99	71	61
ACVR1C	3	4	3	0	2	2	0	0
ACVR2A	48	53	28	49	25	51	52	38
ACVR2B	26	29	49	38	14	30	36	21
ACVR2B-AS1	9	6	11	24	3	9	12	3
ACVRL1	88	60	22	15	14	34	38	14
ACY1	13	15	26	33	19	31	42	28
ACY3	8	8	1	0	1	0	1	1
ACYP1	15	16	6	19	11	21	21	19
ACYP2	38	26	23	47	43	85	58	36
ADA	28	11	1	2	8	8	13	3
ADA2	94	96	26	26	24	21	28	26
ADAD1	0	0	0	0	0	0	0	0
ADAD1P2	0	0	0	0	0	0	0	0
ADAD2	10	13	1	0	0	5	2	0
ADAL	15	17	22	15	17	44	23	17
ADAM10	110	176	197	97	172	291	181	203
ADAM11	20	12	5	6	5	9	13	8
ADAM12	8	12	5	3	1	2	0	2
ADAM15	209	189	247	377	246	432	338	280
ADAM17	42	68	87	68	70	104	75	51
ADAM18	0	0	0	0	0	0	0	1
ADAM19	81	53	41	22	19	10	9	16
ADAM1A	0	0	0	0	0	0	0	0
ADAM1B	0	2	0	0	0	4	0	0
ADAM2	0	0	26	2	2	9	14	7
ADAM20	0	1	1	1	0	1	0	0
ADAM20P1	2	1	4	4	4	7	4	1
ADAM20P2	0	0	0	0	0	0	0	0
ADAM20P3	0	0	0	0	0	0	0	0
ADAM21	2	0	4	0	0	2	1	0
ADAM21P1	0	0	1	0	0	0	1	0
ADAM22	69	137	28	30	12	17	43	16
ADAM23	12	11	2	2	0	4	2	2
ADAM24P	0	0	0	0	0	0	0	0
ADAM28	29	54	11	15	7	3	8	13
ADAM29	0	0	0	0	0	0	0	0
ADAM30	0	0	0	0	0	0	0	0
ADAM32	3	7	1	10	6	11	10	2
ADAM33	899	485	71	119	57	72	156	33
ADAM3A	0	0	0	0	0	0	0	0
ADAM3B	0	0	0	0	0	0	0	0
ADAM5	0	0	0	0	0	0	0	0
ADAM6	0	0	0	0	0	0	0	0
ADAM7	0	0	0	1	9	6	0	2
ADAM8	34	31	11	20	29	62	43	27
ADAM9	149	169	183	57	107	171	117	76
ADAMDEC1	2	10	2	0	2	1	0	4
ADAMTS1	164	101	342	189	50	790	37	96
ADAMTS10	92	93	27	30	18	23	60	17
ADAMTS12	15	14	5	7	2	4	15	2
ADAMTS13	28	34	16	37	29	48	43	41
ADAMTS14	14	9	1	2	2	15	7	0
ADAMTS15	20	5	1	7	2	7	5	20
ADAMTS16	1	0	0	1	0	0	1	1
ADAMTS16-DT	2	1	0	0	1	0	0	1
ADAMTS17	10	13	10	6	2	19	20	16
ADAMTS18	6	16	0	0	48	25	4	0
ADAMTS19	2	2	1	0	0	1	0	0
ADAMTS19-AS1	0	0	1	0	0	0	0	0
ADAMTS2	73	36	55	61	20	18	74	21
ADAMTS20	0	0	0	0	0	0	0	0
ADAMTS3	3	5	2	10	0	11	6	0
ADAMTS4	7	3	107	61	7	5	5	4
ADAMTS5	48	41	9	3	6	3	13	6
ADAMTS6	6	3	2	2	10	3	4	3
ADAMTS7	16	3	16	4	8	12	25	9
ADAMTS7P1	3	2	0	1	1	1	0	0
ADAMTS7P3	6	2	1	0	0	1	1	1
ADAMTS7P4	5	8	3	4	0	1	4	0
ADAMTS8	23	10	18	23	2	15	36	3
ADAMTS9	27	22	40	8	9	13	18	7
ADAMTS9-AS1	45	36	11	11	4	5	3	0
ADAMTS9-AS2	13	22	7	7	1	0	2	2
ADAMTSL1	37	31	3	8	21	53	27	83
ADAMTSL2	44	43	14	30	22	35	122	12
ADAMTSL3	48	49	4	4	13	10	13	2
ADAMTSL4	97	81	25	16	15	8	20	3
ADAMTSL4-AS1	29	12	5	4	5	5	5	4
ADAMTSL4-AS2	13	4	3	0	1	3	3	3
ADAMTSL5	35	28	7	16	4	30	13	3
ADAP1	11	2	21	7	7	12	6	4
ADAP2	23	26	15	12	11	8	15	8
ADAR	461	633	489	356	420	376	396	392
ADARB1	114	109	100	140	71	183	111	126
ADARB2	0	2	6	3	4	1	7	3
ADARB2-AS1	0	0	0	0	0	0	1	0
ADAT1	36	65	44	49	60	64	81	49
ADAT2	15	28	22	33	22	31	24	9
ADAT3	7	3	6	11	8	7	11	6
ADCK1	30	23	30	54	37	73	50	36
ADCK2	54	30	42	46	37	90	66	49
ADCK5	27	37	14	31	21	53	75	67
ADCY1	16	24	105	16	20	16	14	8
ADCY10	0	1	0	4	2	3	1	1
ADCY10P1	25	23	33	29	27	115	13	21
ADCY2	45	30	7	13	42	41	19	47
ADCY3	166	118	85	54	20	63	51	37
ADCY4	71	62	53	25	36	72	29	35
ADCY5	411	267	37	35	40	27	50	16
ADCY6	221	270	339	267	231	390	289	299
ADCY6-DT	1	1	1	4	1	3	4	2
ADCY7	61	88	13	21	28	22	25	13
ADCY8	0	0	0	0	0	0	0	0
ADCY9	69	59	43	17	17	26	36	28
ADCYAP1	2	3	0	4	0	0	0	0
ADCYAP1R1	20	27	2	3	0	0	0	1
ADD1	672	580	239	333	292	411	469	346
ADD2	6	8	3	0	4	16	17	1
ADD3	202	280	79	99	34	54	62	167
ADD3-AS1	6	7	0	1	0	2	2	0
ADGB	0	0	0	2	0	0	0	0
ADGRA1	1	0	0	0	0	0	0	0
ADGRA1-AS1	0	0	0	0	0	0	0	0
ADGRA2	852	651	235	243	94	86	293	105
ADGRA3	104	110	187	104	63	85	131	105
ADGRB1	13	17	8	4	32	43	7	1
ADGRB2	35	27	6	11	7	25	14	8
ADGRB3	9	7	0	2	0	0	0	1
ADGRD1	192	106	8	13	11	4	38	5
ADGRD1-AS1	5	1	0	0	0	0	1	0
ADGRD2	4	9	0	0	0	0	0	0
ADGRE1	1	0	0	0	0	0	0	0
ADGRE2	17	26	9	13	2	6	15	9
ADGRE3	0	0	0	0	0	0	0	0
ADGRE4P	4	5	0	1	1	3	0	0
ADGRE5	76	100	79	53	26	17	23	18
ADGRF1	30	18	3	2	633	1430	10	0
ADGRF2	0	0	0	0	0	0	0	0
ADGRF3	3	5	4	1	2	5	4	2
ADGRF4	0	0	0	0	1	0	0	0
ADGRF5	72	78	223	32	18	299	47	24
ADGRF5-AS1	1	0	0	0	0	0	0	0
ADGRF5P1	3	2	0	6	0	0	1	0
ADGRF5P2	0	0	0	0	0	0	0	0
ADGRG1	160	143	83	211	122	247	142	151
ADGRG2	0	9	12	2	6	10	5	1
ADGRG3	2	0	0	2	2	0	0	0
ADGRG4	1	1	0	0	0	0	0	0
ADGRG5	5	15	1	3	5	3	1	0
ADGRG6	24	33	10	1	1	0	0	9
ADGRG7	0	0	0	0	0	0	0	0
ADGRL1	126	129	65	73	96	151	75	14
ADGRL1-AS1	20	21	7	10	10	20	9	4
ADGRL2	155	229	109	103	17	13	64	16
ADGRL3	17	4	2	1	0	1	2	0
ADGRL3-AS1	0	0	0	0	0	0	0	0
ADGRL4	24	13	22	17	6	18	10	7
ADGRV1	22	9	11	11	32	36	51	21
ADH1A	6	4	0	1	0	0	2	1
ADH1B	235	28	6	4	10	19	10	1
ADH1C	51	42	3	3	1	0	13	0
ADH4	1	0	0	0	0	0	0	0
ADH5	538	398	206	222	124	76	249	111
ADH5P2	0	0	0	0	0	0	0	0
ADH5P3	0	0	0	0	0	0	0	0
ADH5P4	1	0	0	1	0	0	0	0
ADH5P5	0	0	0	0	0	0	0	0
ADH6	3	2	1	0	2	0	0	0
ADH7	1	0	0	0	0	0	0	0
ADHFE1	45	38	28	56	44	45	51	61
ADI1	387	379	1759	582	440	631	479	402
ADI1P1	0	0	0	0	0	0	0	0
ADI1P2	0	0	0	0	0	0	0	0
ADI1P3	0	0	0	0	0	0	0	0
ADIG	0	0	0	0	0	0	0	0
ADIPOQ	0	0	0	0	0	0	0	0
ADIPOQ-AS1	0	0	0	0	0	0	0	0
ADIPOR1	172	160	196	241	206	317	186	204
ADIPOR1P1	0	0	0	0	0	0	0	0
ADIPOR1P2	0	0	0	0	0	0	0	0
ADIPOR2	129	152	122	120	148	222	145	145
ADIRF	518	329	116	71	33	32	89	31
ADIRF-AS1	597	396	131	89	32	33	103	34
ADK	38	47	42	72	29	54	54	42
ADM	26	20	12	28	29	35	28	23
ADM-DT	0	0	0	0	0	0	0	0
ADM2	14	22	27	128	59	39	80	47
ADM5	2	2	1	1	3	10	5	4
ADNP	208	296	215	227	205	237	277	194
ADNP-AS1	4	3	4	4	0	13	9	2
ADNP2	39	47	60	66	21	30	33	42
ADO	66	48	62	55	32	49	77	46
ADORA1	8	2	2	1	0	0	3	2
ADORA2A	4	7	1	2	2	1	4	2
ADORA2A-AS1	8	6	3	12	2	5	11	5
ADORA2B	8	11	6	3	3	3	0	2
ADORA2BP1	0	1	0	0	0	0	0	0
ADORA3	9	8	1	0	6	1	5	6
ADPGK	184	210	311	509	267	449	329	172
ADPGK-AS1	9	10	19	22	2	2	10	5
ADPRH	37	37	30	15	8	9	17	10
ADPRHL1	9	5	12	47	11	18	12	11
ADPRM	25	29	28	73	27	24	46	17
ADPRS	64	61	34	74	43	91	73	62
ADRA1A	31	39	2	2	5	0	2	3
ADRA1B	5	1	0	1	0	3	0	1
ADRA1D	34	9	4	9	2	1	3	0
ADRA2A	65	26	13	69	17	24	15	12
ADRA2B	10	4	1	1	1	1	5	0
ADRA2C	7	2	0	17	8	10	13	0
ADRB1	20	8	63	95	24	34	91	112
ADRB2	21	20	84	71	35	67	48	67
ADRB3	7	4	0	0	0	1	0	1
ADRM1	153	106	111	214	170	307	244	170
ADSL	39	47	57	53	58	65	103	51
ADSS1	46	42	18	10	17	17	21	16
ADSS2	88	88	84	65	58	106	95	85
ADTRP	7	2	0	1	1	5	0	2
AEBP1	1362	1017	419	401	444	220	1275	489
AEBP2	55	45	28	49	23	36	39	23
AEN	32	43	86	65	33	100	57	64
AFAP1	114	83	91	54	33	27	70	33
AFAP1-AS1	117	84	87	63	25	26	59	26
AFAP1L1	38	27	19	8	9	11	7	3
AFAP1L2	79	79	59	13	11	21	50	10
AFDN	163	284	130	315	230	266	586	326
AFDN-DT	6	13	9	37	19	32	47	35
AFF1	92	199	293	174	122	147	151	139
AFF2	4	10	3	3	0	1	2	0
AFF2-IT1	0	0	0	0	0	0	0	0
AFF3	67	85	46	100	19	34	75	19
AFF4	151	227	250	194	105	116	179	143
AFF4-DT	0	0	1	0	0	0	0	0
AFG1L	4	5	11	5	10	7	13	6
AFG3L1P	85	106	33	69	47	83	56	60
AFG3L2	177	141	195	146	129	340	176	133
AFG3L2P1	0	0	0	0	0	0	0	0
AFM	0	0	0	0	0	0	0	0
AFMID	80	82	314	132	96	127	113	208
AFP	0	0	0	0	1	1	0	0
AFTPH	65	115	132	152	88	150	121	139
AFTPH-DT	1	3	3	3	0	2	2	3
AGA	31	44	39	52	24	51	55	32
AGA-DT	0	1	0	1	0	3	1	1
AGAP1	59	76	143	88	42	79	86	63
AGAP1-IT1	0	0	0	0	0	0	0	1
AGAP10P	48	57	55	63	72	64	55	24
AGAP11	0	0	0	0	0	0	0	0
AGAP12P	9	13	20	14	18	15	25	3
AGAP13P	16	7	10	8	8	13	8	2
AGAP14P	22	19	20	24	27	16	26	3
AGAP2	24	18	31	32	23	26	21	8
AGAP2-AS1	19	16	10	11	17	25	12	2
AGAP3	235	206	193	231	170	297	264	188
AGAP4	135	146	125	142	161	157	141	57
AGAP5	2	7	4	5	3	5	4	3
AGAP6	34	40	42	37	22	32	45	14
AGAP7P	82	78	66	84	133	108	103	33
AGAP9	70	72	89	87	83	106	88	39
AGBL1	0	0	0	1	0	0	2	0
