SYMBOL	logFC	logCPM	PValue	FDR	test	gene_chr	HGNC.ID	Approved.Symbol	Approved.Name	Status	Previous.Symbols	Synonyms	Chromosome	Accession.Numbers	Entrez.Gene.ID	RefSeq.IDs	Duplicated	hgnc.chr
AAMP	0.606528308433353	6.60835215367969	0.180465318704844	0.435389394269142	0	2	HGNC:18	AAMP	angio associated migratory cell protein	Approved			2q35	AB209790	14	NM_001087	FALSE	2
AAR2	-0.258108099655947	4.69055947002643	0.605424786650149	0.821843570360504	0	20	HGNC:15886	AAR2	AAR2 splicing factor homolog	Approved	C20orf4	bA234K24.2	20q11.23		25980	NM_015511	FALSE	20
AARS1	0.45931026614389	6.64129752174626	0.327706145723315	0.601802841396635	0	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AARS2	0.0632030544086123	4.68372365698243	0.903879393188339	0.985363707316658	0	6	HGNC:21022	AARS2	alanyl-tRNA synthetase 2, mitochondrial	Approved	AARSL	KIAA1270, bA444E17.1	6p21.1	AB033096	57505	NM_020745	FALSE	6
AARSD1	0.390081606554374	4.11555899606261	0.418867560299212	0.686584368752628	0	17	HGNC:28417	AARSD1	alanyl-tRNA synthetase domain containing 1	Approved		MGC2744	17q21.31	BC004172	80755	NM_001261434	FALSE	17
AASDH	-0.00424172330794176	3.29690559457951	0.99999999999999	1	0	4	HGNC:23993	AASDH	aminoadipate-semialdehyde dehydrogenase	Approved		NRPS998, LYS2, ACSF4	4q12	AF516672	132949	NM_181806	FALSE	4
AASDHPPT	0.15895740220408	3.96429774910861	0.751087764141615	0.912595320574884	0	11	HGNC:14235	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	Approved		LYS5, CGI-80, AASD-PPT, ACPS	11q22.3	AF302110	60496	NM_015423	FALSE	11
AASS	-0.908667642680062	4.83123466524418	0.0559062943214644	0.216065407931378	0	7	HGNC:17366	AASS	aminoadipate-semialdehyde synthase	Approved		LORSDH, LKRSDH	7q31.32	AF229180	10157	NM_005763	FALSE	7
AATBC	-6.68622449636768	0.775328590769578	5.96036575080962e-05	0.00198377718501068	-1	21	HGNC:51526	AATBC	apoptosis associated transcript in bladder cancer	Approved			21q22.3		284837	NR_026961	FALSE	21
AATF	0.226992348476019	4.77885405706545	0.650060244432606	0.85159627841986	0	17	HGNC:19235	AATF	apoptosis antagonizing transcription factor	Approved		DED, CHE-1, CHE1, BFR2	17q12	AF083208	26574	NM_012138	FALSE	17
AATK	1.28093815714774	5.57901945920584	0.010093593479293	0.0733252752140176	0	17	HGNC:21	AATK	apoptosis associated tyrosine kinase	Approved		AATYK, KIAA0641, LMTK1, LMR1, AATYK1, PPP1R77	17q25.3	AB014541	9625	NM_004920	FALSE	17
ABALON	-0.595361879863815	3.97906236391732	0.26369049014291	0.534425062932454	0	20	HGNC:49667	ABALON	apoptotic BCL2L1-antisense long non-coding RNA	Approved		INXS	20q11.21	KC505631	103021294	NR_131907	FALSE	20
ABAT	-0.063181330442903	5.84304219757977	0.907160450473453	0.986610961054905	0	16	HGNC:23	ABAT	4-aminobutyrate aminotransferase	Approved		GABAT	16p13.2	L32961	18	NM_020686	FALSE	16
ABCA1	-0.712714421892127	3.31648800911185	0.30257945551242	0.577328141989683	0	9	HGNC:29	ABCA1	ATP binding cassette subfamily A member 1	Approved	ABC1, HDLDT1	TGD	9q31.1	AJ012376	19	NM_005502	FALSE	9
ABCA10	-0.106900320896011	1.89388442893385	1	1	0	17	HGNC:30	ABCA10	ATP binding cassette subfamily A member 10	Approved		EST698739	17q24.3	AY247065	10349	NM_080282	FALSE	17
ABCA11P	-0.143220537381049	1.49538151402125	0.915227372579514	0.991026434462876	0	4	HGNC:31	ABCA11P	ATP binding cassette subfamily A member 11, pseudogene	Approved	ABCA11	EST1133530, FLJ14297	4p16.3	AK024359	79963	NR_002451.2	FALSE	4
ABCA12	-1.08713546410152	0.368125517005815	0.744698823364005	0.90849637798845	0	2	HGNC:14637	ABCA12	ATP binding cassette subfamily A member 12	Approved	ICR2B	DKFZP434G232, LI2	2q35	AF418105	26154	NM_173076	FALSE	2
ABCA17P	-0.448782860561956	0.4477214520366	1	1	0	16	HGNC:32972	ABCA17P	ATP binding cassette subfamily A member 17, pseudogene	Approved			16p13.3	DQ266102	650655	NR_003574	FALSE	16
ABCA2	0.70949903162892	6.16543819325079	0.11838459095669	0.341677203317661	0	9	HGNC:32	ABCA2	ATP binding cassette subfamily A member 2	Approved	ABC2		9q34.3	U18235	20	NM_001606	FALSE	9
ABCA3	0.829261579610749	5.03145555009237	0.104494254484235	0.316275600309822	0	16	HGNC:33	ABCA3	ATP binding cassette subfamily A member 3	Approved	ABC3	ABC-C, EST111653, LBM180	16p13.3	U78735	21	NM_001089	FALSE	16
ABCA4	2.16539657706381	0.249028017285493	0.228176941569164	0.494795642841978	0	1	HGNC:34	ABCA4	ATP binding cassette subfamily A member 4	Approved	STGD1, ABCR, RP19, STGD	FFM, ARMD2, CORD3	1p22.1	U88667	24	NM_000350	FALSE	1
ABCA5	-0.164722827250271	4.89746358388505	0.791339167704015	0.933249479544046	0	17	HGNC:35	ABCA5	ATP binding cassette subfamily A member 5	Approved		EST90625	17q24.3	U66672	23461	NM_018672	FALSE	17
ABCA6	-0.0261732361289255	1.82743148765997	1	1	0	17	HGNC:36	ABCA6	ATP binding cassette subfamily A member 6	Approved		EST155051	17q24.2-q24.3	U66680	23460	NM_080284	FALSE	17
ABCA7	0.216156400616062	4.01839896162177	0.691649491714022	0.877031038577654	0	19	HGNC:37	ABCA7	ATP binding cassette subfamily A member 7	Approved		ABCX	19p13.3	AF328787	10347	NM_019112	FALSE	19
ABCA8	-1.53881194918979	3.83117857065854	0.0459063977615291	0.192185677306229	0	17	HGNC:38	ABCA8	ATP binding cassette subfamily A member 8	Approved		KIAA0822	17q24.2	AB020629	10351	NM_007168	FALSE	17
ABCA9	0.685648676662517	1.94938938100357	0.421923663870574	0.689643971679333	0	17	HGNC:39	ABCA9	ATP binding cassette subfamily A member 9	Approved		EST640918	17q24.2	AF423307	10350	NM_172386	FALSE	17
ABCB1	-0.19014701807285	2.22760297711429	0.856530745755512	0.962985987023306	0	7	HGNC:40	ABCB1	ATP binding cassette subfamily B member 1	Approved	PGY1, MDR1, CLCS	P-gp, CD243, GP170, ABC20	7q21.12	M14758	5243	NM_000927	FALSE	7
ABCB10	-0.465117621750777	3.59580041238225	0.468025446240706	0.724729663137322	0	1	HGNC:41	ABCB10	ATP binding cassette subfamily B member 10	Approved		EST20237, M-ABC2, MTABC2	1q42.13	U18237	23456	NM_012089	FALSE	1
ABCB4	0.557096979151363	0.500972364206576	0.560936381048755	0.793294099682994	0	7	HGNC:45	ABCB4	ATP binding cassette subfamily B member 4	Approved	PGY3, MDR3	MDR2, PFIC-3, GBD1	7q21.12	M23234	5244	NM_000443	FALSE	7
ABCB6	0.487442737318592	4.13545447827177	0.315095847780743	0.589873123233008	0	2	HGNC:47	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	Approved		EST45597, umat, MTABC3	2q35	AF070598	10058	NM_005689	FALSE	2
ABCB7	1.03402268312739	3.74786463865166	0.0373866515835603	0.169824431991319	0	X	HGNC:48	ABCB7	ATP binding cassette subfamily B member 7	Approved	ABC7	EST140535, Atm1p, ASAT	Xq13.3	AF038950	22	NM_004299	FALSE	X
ABCB8	-0.0172716696819807	4.79718036659146	0.982266494841775	1	0	7	HGNC:49	ABCB8	ATP binding cassette subfamily B member 8	Approved		EST328128, M-ABC1, MABC1	7q36.1	AF047690	11194	NM_007188	FALSE	7
ABCB9	0.305747298537001	5.79569654343985	0.506415961824674	0.753797645567215	0	12	HGNC:50	ABCB9	ATP binding cassette subfamily B member 9	Approved		EST122234	12q24.31	U66676	23457	NM_019624	FALSE	12
ABCC1	-0.513245650395544	6.28224698739746	0.349344373662286	0.622957092203271	0	16	HGNC:51	ABCC1	ATP binding cassette subfamily C member 1	Approved	MRP, MRP1	GS-X	16p13.11	L05628	4363	NM_004996	FALSE	16
ABCC10	-0.822499129986236	4.4991280203973	0.0845048363652136	0.278476223204985	0	6	HGNC:52	ABCC10	ATP binding cassette subfamily C member 10	Approved		EST182763, MRP7, SIMRP7	6p21.1	U66684	89845	NM_033450	FALSE	6
ABCC11	2.23782365410761	3.60823159517142	0.0151473549197554	0.0946646317490187	0	16	HGNC:14639	ABCC11	ATP binding cassette subfamily C member 11	Approved		MRP8	16q12.1	AF367202	85320	NM_032583	FALSE	16
ABCC12	3.60240118158926	0.698636664542186	0.322701359704758	0.595893824514806	0	16	HGNC:14640	ABCC12	ATP binding cassette subfamily C member 12	Approved		MRP9	16q12.1	AY040220	94160	NM_033226	FALSE	16
ABCC2	0.341194624599686	0.995861657017097	0.842634721218946	0.95653012169136	0	10	HGNC:53	ABCC2	ATP binding cassette subfamily C member 2	Approved	CMOAT	DJS, MRP2, cMRP	10q24.2	U63970	1244	NM_000392	FALSE	10
ABCC3	-4.04700212066681	3.35796085611417	4.86019589002174e-08	7.54419717204582e-06	-1	17	HGNC:54	ABCC3	ATP binding cassette subfamily C member 3	Approved		MRP3, cMOAT2, EST90757, MLP2, MOAT-D	17q21.33	Y17151	8714	NM_020038	FALSE	17
ABCC4	1.18887400736699	8.41515933497307	0.0326527242996504	0.156409937148046	0	13	HGNC:55	ABCC4	ATP binding cassette subfamily C member 4	Approved		MRP4, EST170205, MOAT-B, MOATB	13q32.1	U66682	10257	NM_005845	FALSE	13
ABCC5	1.36581758607797	6.61119634254253	0.0419461354497285	0.181339503188032	0	3	HGNC:56	ABCC5	ATP binding cassette subfamily C member 5	Approved		MRP5, SMRP, EST277145, MOAT-C	3q27.1	AF104942	10057	NM_005688	FALSE	3
ABCC6	-2.40698945935023	1.33404732754422	0.0182905533546646	0.106997954419783	0	16	HGNC:57	ABCC6	ATP binding cassette subfamily C member 6	Approved	ARA, PXE	MRP6, EST349056, MLP1, URG7	16p13.11	AF076622	368		FALSE	16
ABCC6P1	-3.45850755487502	0.841196346002136	0.112548267877098	0.331351228154843	0	16	HGNC:33352	ABCC6P1	ATP binding cassette subfamily C member 6 pseudogene 1	Approved			16p12.3	BC075833	653190	NR_003569	FALSE	16
ABCC6P2	-1.84527743253472	0.24850349466137	0.310864634109671	0.585645136189629	0	16	HGNC:33353	ABCC6P2	ATP binding cassette subfamily C member 6 pseudogene 2	Approved			16p13.11		730013	NR_023387	FALSE	16
ABCC8	-1.52609093800857	2.94851348500071	0.0867844509569667	0.283138398972847	0	11	HGNC:59	ABCC8	ATP binding cassette subfamily C member 8	Approved	SUR, HRINS	HI, PHHI, SUR1, MRP8, ABC36, HHF1, TNDM2	11p15.1	L78207	6833	NM_000352	FALSE	11
ABCC9	-2.41227867255973	2.75766618614375	0.0016406686927924	0.0210262494536797	-1	12	HGNC:60	ABCC9	ATP binding cassette subfamily C member 9	Approved		SUR2, CMD1O	12p12.1	AF061323	10060	NM_005691	FALSE	12
ABCD1	0.559271559111047	3.83001145004493	0.330920658876092	0.605324339704057	0	X	HGNC:61	ABCD1	ATP binding cassette subfamily D member 1	Approved	ALD	AMN, ALDP, adrenoleukodystrophy	Xq28	Z21876	215	NM_000033	FALSE	X
ABCD3	-0.371911583505889	4.77845385981598	0.431597114010947	0.698609999539834	0	1	HGNC:67	ABCD3	ATP binding cassette subfamily D member 3	Approved	PXMP1	PMP70, ZWS2	1p21.3	M81182	5825	NM_002858	FALSE	1
ABCD4	-0.147967683431372	5.1003275502224	0.732210904805676	0.901351663079669	0	14	HGNC:68	ABCD4	ATP binding cassette subfamily D member 4	Approved	PXMP1L	PMP69, P70R, EST352188	14q24.3	AF009746	5826	NM_005050	FALSE	14
ABCE1	0.456306713846539	5.00423926272814	0.329618200314081	0.603805358694419	0	4	HGNC:69	ABCE1	ATP binding cassette subfamily E member 1	Approved	RNASEL1, RNASELI, RNS4I	RLI, OABP, RLI1	4q31.21	X74987	6059	NM_002940	FALSE	4
ABCF1	0.137933850017435	5.64550529278362	0.755279422705037	0.91431768759089	0	6	HGNC:70	ABCF1	ATP binding cassette subfamily F member 1	Approved	ABC50	EST123147	6p21.33	AF027302	23		FALSE	6
ABCF2	0.320230624198029	3.79451592684166	0.546586897119083	0.783711074177911	0	7	HGNC:71	ABCF2	ATP binding cassette subfamily F member 2	Approved		EST133090, ABC28, M-ABC1, HUSSY-18	7q36.1	AJ005016	10061	NM_005692	FALSE	7
ABCF3	0.564520679757708	5.72289923949915	0.178662640888639	0.43300524304711	0	3	HGNC:72	ABCF3	ATP binding cassette subfamily F member 3	Approved		EST201864	3q27.1	U66685	55324	NM_018358	FALSE	3
ABCG1	0.471326953337311	4.01974029957435	0.437669764616062	0.702198157101025	0	21	HGNC:73	ABCG1	ATP binding cassette subfamily G member 1	Approved		ABC8	21q22.3	U34919	9619	NM_207174	FALSE	21
ABCG2	-1.20770186493491	2.64401897189095	0.0657921165006616	0.239674294249856	0	4	HGNC:74	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	Approved		EST157481, MXR, BCRP, ABCP, CD338	4q22.1	AF103796	9429	NM_004827	FALSE	4
ABCG4	-5.29511780408975	0.0923793473134828	0.0184781676593062	0.10776865597696	0	11	HGNC:13884	ABCG4	ATP binding cassette subfamily G member 4	Approved		WHITE2	11q23.3	AJ300465	64137	NM_022169	FALSE	11
ABHD1	0.722472652107403	3.0366147523407	0.280625678067732	0.554240523742807	0	2	HGNC:17553	ABHD1	abhydrolase domain containing 1	Approved		LABH1, FLJ36128	2p23.3	AK093447	84696	NM_032604	FALSE	2
ABHD10	0.747914220675122	5.03253710294547	0.121235830346061	0.346228764664739	0	3	HGNC:25656	ABHD10	abhydrolase domain containing 10	Approved		FLJ11342	3q13.2	AL713726	55347	NM_018394	FALSE	3
ABHD11	1.54086912544603	5.69328409614761	0.0028807041253236	0.0310590867903758	1	7	HGNC:16407	ABHD11	abhydrolase domain containing 11	Approved	WBSCR21	PP1226	7q11.23	AF217971	83451		FALSE	7
ABHD11-AS1	2.13279621237147	2.31043267531175	0.0245378080697274	0.131106163828935	0	7	HGNC:18289	ABHD11-AS1	ABHD11 antisense RNA 1 (tail to tail)	Approved	WBSCR26, LINC00035	NCRNA00035	7q11.23	BU595969	171022	NR_026690	FALSE	7
ABHD12	0.609029292113271	6.5086224997084	0.249365882874085	0.520528876307765	0	20	HGNC:15868	ABHD12	abhydrolase domain containing 12	Approved	C20orf22	DKFZP434P106, dJ965G21.2, BEM46L2, ABHD12A	20p11.21	AL117442	26090	NM_015600	FALSE	20
ABHD13	-0.274005496954907	3.2649536185754	0.663071639973968	0.859170305064646	0	13	HGNC:20293	ABHD13	abhydrolase domain containing 13	Approved	C13orf6	bA153I24.2, FLJ14906, BEM46L1	13q33.3	AK027812	84945	NM_032859	FALSE	13
ABHD14A	0.285405782962778	4.06668026685206	0.611057826614115	0.825073054579911	0	3	HGNC:24538	ABHD14A	abhydrolase domain containing 14A	Approved		DKFZP564O243, DORZ1	3p21.2	AY358201	25864	NM_015407	FALSE	3
ABHD14B	0.811486766442324	5.97352050223081	0.156943210989924	0.402998044198956	0	3	HGNC:28235	ABHD14B	abhydrolase domain containing 14B	Approved		MGC15429, CIB	3p21.2	AK075112	84836	NM_032750	FALSE	3
ABHD15	-0.689864431301457	3.0218977777226	0.376590918098748	0.649511117939277	0	17	HGNC:26971	ABHD15	abhydrolase domain containing 15	Approved			17q11.2	AK056717	116236	NM_198147	FALSE	17
ABHD16A	-0.142116700042629	3.18941327849512	0.853316767136357	0.961503235860904	0	6	HGNC:13921	ABHD16A	abhydrolase domain containing 16A	Approved	BAT5	NG26, D6S82E	6p21.33	AF129756	7920		FALSE	6
ABHD16B	-0.501533273915061	2.32423819248708	0.577391525354611	0.804123428380781	0	20	HGNC:16128	ABHD16B	abhydrolase domain containing 16B	Approved	C20orf135	dJ591C20.1	20q13.33		140701		FALSE	20
ABHD17A	0.605585777701491	6.0762135693067	0.160643048118943	0.408147131992336	0	19	HGNC:28756	ABHD17A	abhydrolase domain containing 17A	Approved	C19orf27, FAM108A1	MGC5244	19p13.3	BC020512	81926	NM_031213	FALSE	19
ABHD17AP1	1.25826109026772	1.49345278647561	0.213644712799393	0.477372618493905	0	1	HGNC:28394	ABHD17AP1	abhydrolase domain containing 17A pseudogene 1	Approved	FAM108A2, ABHD17AP2, FAM108A3, FAM108A11P, FAM108A3P	C1orf47	1q21.2		728917	NG_011738	FALSE	1
ABHD17AP4	-0.164918808021721	1.08718746083794	0.893149169287365	0.980445128388756	0	22	HGNC:34042	ABHD17AP4	abhydrolase domain containing 17A pseudogene P4	Approved	FAM108A5, FAM108A5P		22q11.21		729495		FALSE	22
ABHD17AP5	-0.854983259537637	0.307702756519704	0.773770071717326	0.924580523680547	0	22	HGNC:34043	ABHD17AP5	abhydrolase domain containing 17A pseudogene 5	Approved	FAM108A6, FAM108A6P		22q11.22		91219		FALSE	22
ABHD17AP6	1.69647008249434	1.66091988634752	0.137900002276173	0.373893606532867	0	17	HGNC:34044	ABHD17AP6	abhydrolase domain containing 17A pseudogene 6	Approved	FAM108A7P		17p11.2		644988		FALSE	17
ABHD17B	0.933143518370691	3.44118694106545	0.0896113011060137	0.288295938563338	0	9	HGNC:24278	ABHD17B	abhydrolase domain containing 17B	Approved	C9orf77, FAM108B1	CGI-67	9q21.13	AF151825	51104	NM_016014	FALSE	9
ABHD17C	1.0823744006177	4.66032061336713	0.0394437430307151	0.175277403013587	0	15	HGNC:26925	ABHD17C	abhydrolase domain containing 17C	Approved	FAM108C1		15q25.1		58489	NM_021214	FALSE	15
ABHD18	-0.521039579757813	3.23515724520408	0.394461497727729	0.6657525872033	0	4	HGNC:26111	ABHD18	abhydrolase domain containing 18	Approved	C4orf29	FLJ21106	4q28.2	AK024759	80167	NM_001039717	FALSE	4
ABHD2	-0.00728870163081977	7.67726267221163	0.990715609313455	1	0	15	HGNC:18717	ABHD2	abhydrolase domain containing 2	Approved		LABH2	15q26.1	X12433	11057		FALSE	15
ABHD3	-0.0738372504950541	3.52125609456943	0.926167059463782	0.996210518082728	0	18	HGNC:18718	ABHD3	abhydrolase domain containing 3	Approved		LABH3	18q11.2	AK024880	171586		FALSE	18
ABHD4	-0.477376933530008	4.80404156615764	0.452491956486988	0.712573917133524	0	14	HGNC:20154	ABHD4	abhydrolase domain containing 4	Approved		FLJ12816	14q11.2	AK022878	63874		FALSE	14
ABHD5	0.357820056621809	3.83196458484872	0.434347105172345	0.700075296870337	0	3	HGNC:21396	ABHD5	abhydrolase domain containing 5	Approved		CGI-58, NCIE2	3p21.33	AF007132	51099	NM_016006	FALSE	3
ABHD6	-0.167588814147994	2.42414167356273	0.877256538400775	0.973058304927379	0	3	HGNC:21398	ABHD6	abhydrolase domain containing 6	Approved			3p14.3	AF225418	57406	NM_020676	FALSE	3
ABHD8	-0.282370541440223	3.06190074515921	0.660786924567453	0.857810141430499	0	19	HGNC:23759	ABHD8	abhydrolase domain containing 8	Approved		FLJ11743, MGC14280, MGC2512	19p13.11	AK021805	79575	NM_024527	FALSE	19
ABI1	-0.0912890378837796	5.04241995420487	0.845566245907691	0.958186444937875	0	10	HGNC:11320	ABI1	abl interactor 1	Approved	SSH3BP1	E3B1, ABI-1	10p12.1	U87166	10006	NM_005470	FALSE	10
ABI2	-0.0541303934425587	5.93642615113632	0.909918018375359	0.988237157781936	0	2	HGNC:24011	ABI2	abl interactor 2	Approved		ABI-2, AIP-1, ABI2B, AblBP3, argBPIA, SSH3BP2	2q33.2	AF260261	10152	NM_005759	FALSE	2
ABI3	-1.21373647934571	2.4397623249051	0.0438837946463809	0.186845969828029	0	17	HGNC:29859	ABI3	ABI family member 3	Approved		NESH, SSH3BP3	17q21.32	AB037886	51225	NM_016428	FALSE	17
ABI3BP	-0.44993019305721	3.19111397092841	0.56763867595639	0.797760068628689	0	3	HGNC:17265	ABI3BP	ABI family member 3 binding protein	Approved		NESHBP, DKFZP586L2024, TARSH	3q12.2	AB056106	25890		FALSE	3
ABITRAM	0.229406321621571	3.74487075110492	0.677977875647191	0.869465026562102	0	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABL1	-0.685153914825915	5.81655868392702	0.126341166991863	0.35479754037174	0	9	HGNC:76	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	Approved	ABL	JTK7, c-ABL, p150	9q34.12	M14752	25	NM_007313	FALSE	9
ABL2	0.300130861831848	3.88533703665178	0.579384472120466	0.805714921609601	0	1	HGNC:77	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	Approved	ABLL	ARG	1q25.2	M14904	27	NM_005158	FALSE	1
ABLIM1	-0.650694184716333	5.07133462669741	0.259334515657465	0.53036528906014	0	10	HGNC:78	ABLIM1	actin binding LIM protein 1	Approved	LIMAB1, ABLIM	abLIM, limatin	10q25.3	AF005654	3983		FALSE	10
ABLIM2	-0.320781211249965	1.03937740486455	0.729138949590672	0.90001009150052	0	4	HGNC:19195	ABLIM2	actin binding LIM protein family member 2	Approved		KIAA1808	4p16.1	AB058711	84448	NM_001130083	FALSE	4
ABLIM3	-1.32323890234446	3.88595975387086	0.0974688834516152	0.303113076930878	0	5	HGNC:29132	ABLIM3	actin binding LIM protein family member 3	Approved		KIAA0843	5q32	AB020650	22885	NM_014945	FALSE	5
ABO	-3.12546924213398	3.56310726893869	0.00542670381265675	0.0486474647771144	-1	9	HGNC:79	ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	Approved		A3GALNT, A3GALT1	9q34.2	AF134415	28	NM_020469	FALSE	9
ABR	-0.585610918672873	6.18292450266221	0.216185083294386	0.480749488674658	0	17	HGNC:81	ABR	active BCR-related	Approved		MDB	17p13.3	L19704	29		FALSE	17
ABRACL	0.706314301663005	3.47699501973192	0.256132902908079	0.527077605687186	0	6	HGNC:21230	ABRACL	ABRA C-terminal like	Approved	C6orf115	PRO2013, HSPC280, Costars	6q24.1	BC014953	58527	NM_021243	FALSE	6
ABRAXAS1	0.0878642665810014	4.27846934490894	0.869083238338008	0.968688978860941	0	4	HGNC:25829	ABRAXAS1	abraxas 1, BRCA1 A complex subunit	Approved	CCDC98, FAM175A	FLJ13614, ABRA1, ABRAXAS	4q21.23	AK023676	84142	NM_139076	FALSE	4
ABRAXAS2	-0.427217301988018	3.82038984381629	0.424747862681081	0.692440924892309	0	10	HGNC:28975	ABRAXAS2	abraxas 2, BRISC complex subunit	Approved	KIAA0157, FAM175B	Em:AC068896.4, ABRO1	10q26.13	D63877	23172	NM_032182	FALSE	10
ABT1	0.942805533601962	4.49839387781562	0.0267531752035649	0.137909439655136	0	6	HGNC:17369	ABT1	activator of basal transcription 1	Approved		Esf2	6p22.2	AB027258	29777		FALSE	6
ABTB1	-0.859075756304025	5.2042932781524	0.140078342713758	0.377287588893428	0	3	HGNC:18275	ABTB1	ankyrin repeat and BTB domain containing 1	Approved		BPOZ, EF1ABP, Btb3, BTBD21	3q21.3	AB053324	80325	NM_172027	FALSE	3
ABTB2	-0.508030092810394	3.93721101706814	0.382736312701309	0.654965790391539	0	11	HGNC:23842	ABTB2	ankyrin repeat and BTB domain containing 2	Approved		DKFZP586C1619, BTBD22, ABTB2A	11p13	AK056863	25841	NM_145804	FALSE	11
ACAA1	0.352950881434951	6.62872533762519	0.513008271738228	0.758993330965056	0	3	HGNC:82	ACAA1	acetyl-CoA acyltransferase 1	Approved			3p22.2	X14813	30	NM_001607	FALSE	3
ACAA2	-1.59664734759749	3.65849555218368	0.0206160548996982	0.115931506722038	0	18	HGNC:83	ACAA2	acetyl-CoA acyltransferase 2	Approved		DSAEC	18q21.1	D16294	10449	NM_006111	FALSE	18
ACACA	0.486412942818363	7.32307299089728	0.248692870689687	0.51960557600369	0	17	HGNC:84	ACACA	acetyl-CoA carboxylase alpha	Approved	ACAC, ACC	ACC1	17q12	U19822	31	NM_198836	FALSE	17
ACACB	-2.45975677814127	4.80284973550753	1.14125098577897e-06	9.25647083330453e-05	-1	12	HGNC:85	ACACB	acetyl-CoA carboxylase beta	Approved		HACC275, ACC2, ACCB	12q24.11	U89344	32	NM_001093	FALSE	12
